Kudos Date,Kudos Type,Parent ID
"21 Aug 2018, 16:14:01",Activity,1786723187
"21 Aug 2018, 20:47:45",Activity,1788333830
"25 Aug 2018, 18:24:51",Activity,1795704469
"25 Aug 2018, 20:47:04",Activity,1796984616
"26 Aug 2018, 18:22:58",Activity,1798889103
"26 Aug 2018, 18:30:06",Activity,1798696490
"27 Aug 2018, 21:22:57",Activity,1801224333
"27 Aug 2018, 21:23:28",Activity,1800994422
"27 Aug 2018, 21:23:30",Activity,1801035329
"27 Aug 2018, 21:23:31",Activity,1800414577
"27 Aug 2018, 21:23:34",Activity,1800458315
"27 Aug 2018, 21:23:36",Activity,1800168544
"1 Sep 2018, 20:32:00",Activity,1812546821
"1 Sep 2018, 20:32:05",Activity,1812147794
"1 Sep 2018, 20:32:09",Activity,1812546749
"1 Sep 2018, 20:32:15",Activity,1809733903
"1 Sep 2018, 23:21:41",Activity,1812775658
"1 Sep 2018, 23:22:17",Activity,1809367697
"1 Sep 2018, 23:22:24",Activity,1807775280
"2 Sep 2018, 20:05:16",Activity,1815006381
"4 Sep 2018, 19:33:02",Activity,1819155367
"4 Sep 2018, 19:33:09",Activity,1817243101
"4 Sep 2018, 19:33:10",Activity,1816948572
"4 Sep 2018, 19:33:13",Activity,1818490969
"4 Sep 2018, 19:33:15",Activity,1818491104
"4 Sep 2018, 19:33:24",Activity,1818931713
"8 Sep 2018, 20:52:54",Activity,1827735711
"8 Sep 2018, 20:53:09",Activity,1825369372
"8 Sep 2018, 20:53:11",Activity,1825780855
"8 Sep 2018, 20:53:17",Activity,1823555132
"8 Sep 2018, 20:53:20",Activity,1821244642
"8 Sep 2018, 20:53:21",Activity,1823553869
"8 Sep 2018, 20:53:25",Activity,1824907140
"8 Sep 2018, 20:53:28",Activity,1824901423
"14 Sep 2018, 16:49:55",Activity,1839126380
"14 Sep 2018, 16:49:56",Activity,1839315329
"14 Sep 2018, 16:49:59",Activity,1836960787
"14 Sep 2018, 16:50:00",Activity,1834645888
"14 Sep 2018, 16:50:02",Activity,1834703597
"14 Sep 2018, 16:50:16",Activity,1829437173
"14 Sep 2018, 16:50:21",Activity,1829883949
"15 Sep 2018, 14:25:22",Activity,1842999641
"18 Sep 2018, 06:33:34",Activity,1846371183
"18 Sep 2018, 06:33:36",Activity,1845551624
"27 Sep 2018, 20:28:16",Activity,1869593428
"27 Sep 2018, 20:28:19",Activity,1869063684
"27 Sep 2018, 20:28:22",Activity,1868386254
"27 Sep 2018, 20:28:30",Activity,1865480472
"30 Sep 2018, 11:56:06",Activity,1875073405
"30 Sep 2018, 11:56:09",Activity,1875077020
"30 Sep 2018, 17:34:27",Activity,1875709289
"30 Sep 2018, 21:23:26",Activity,1876362521
"20 Oct 2018, 17:22:26",Activity,1916309054
"20 Oct 2018, 17:22:28",Activity,1916446124
